collector_number,casting_name,name,release_year,series,series_type,series_number,toy_number,barcode,primary_color,secondary_color,manufacturer,category,scale,packaging_type,country_of_manufacture,description,image_url
073/250,Mo-Stash,Mo-Stash,2024,Experimotors,Mainline,4/5,HRY56,,,,Hot Wheels,Experimotors,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/f/f6/Mo-Stash.jpg/revision/latest
074/250,Group C Fantasy,Group C Fantasy,2024,HW Race Day,Mainline,1/10,HTC74,,,,Hot Wheels,HW Race Day,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/e/e2/GroupCFantasyRaceCar.jpg/revision/latest
075/250,Rockin' Railer,Rockin' Railer,2024,HW Race Day,Mainline,2/10,HTC75,,,,Hot Wheels,HW Race Day,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/1/15/HTC75_01.jpg/revision/latest
076/250,RRRoadster,RRRoadster,2024,HW Celebration Racers International Women's Day,Mainline,4/10,HRY98,,,,Hot Wheels,HW Celebration Racers International Women's Day,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/a/a1/RRRoadster_-_2024_-_HW_Celebration_Racers_-_HRY98.jpg/revision/latest
077/250,Rodger Dodger,Rodger Dodger,2024,HW Celebration Racers Leap Year,Mainline,5/10,HRY99,,,,Dodge,HW Celebration Racers Leap Year,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/c/ca/Rodger_Dodger_-_2024_-_HW_Celebration_Racers_-_HRY99.jpg/revision/latest
078/250,Ice Charger,Ice Charger,2024,HW Screen Time,Mainline,6/10,HTB34,,,,Hot Wheels,HW Screen Time,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/5/56/HTB34-LOOSE.jpg/revision/latest
079/250,Glory Chaser,Glory Chaser,2024,HW Dream Garage,Mainline,4/5,HTB51,,,,Hot Wheels,HW Dream Garage,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/3/36/Mainline_2024_Glory_Chaser_Burnt_Orange_Malaysia_HTB51.jpg/revision/latest
080/250,Mazda RX-7,Mazda RX-7,2024,HW First Response,Mainline,8/10,HTB62,,,,Mazda,HW First Response,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/b/b4/HTB62-LOOSE.jpg/revision/latest
081/250,Custom '68 Camaro,Custom '68 Camaro,2024,HW Modified,Mainline,7/10,HTB69,,,,Chevrolet,HW Modified,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/e/ed/PunkCamaro.jpg/revision/latest
082/250,'89 Mercedes-Benz 560 SEC AMG,'89 Mercedes-Benz 560 SEC AMG,2024,HW Modified,Mainline,8/10,HTB70,,,,Mercedes-Benz,HW Modified,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/d/d3/HTB70-LOOSE.jpg/revision/latest
083/250,'67 Chevy C10,'67 Chevy C10,2024,HW Art Cars,Mainline,2/10,HTB72,,,,Chevrolet,HW Art Cars,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/4/45/Mainline_2024_%2767_Chevy_C10_Tan-Brown_Malaysia_HTB72.jpg/revision/latest
084/250,'67 Camaro,'67 Camaro,2024,HW Art Cars New in Mainline,Mainline,3/10,HTB74,,,,Chevrolet,HW Art Cars New in Mainline,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/6/6a/ArtCarsCamaro.jpg/revision/latest
085/250,DeLorean Alpha5,DeLorean Alpha5,2024,HW Green Speed New in Mainline,Mainline,7/10,HTB84,,,,Hot Wheels,HW Green Speed New in Mainline,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/9/9d/2024DeLorean.jpg/revision/latest
086/250,'10 Camaro SS,'10 Camaro SS,2024,HW First Response,Mainline,9/10,HTB63,,,,Chevrolet,HW First Response,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/1/1e/10_camaro_ss_2024.png/revision/latest
087/250,Piranha Terror,Piranha Terror,2024,HW Mega Bite,Mainline,4/5,HTC04,,,,Hot Wheels,HW Mega Bite,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/6/6d/Piranha_Terror_-_2024_-_HW_Mega_Bite_-_HTC04.jpg/revision/latest
088/250,Street Wiener,Street Wiener,2024,Hot Wheels Let's Race,Mainline,1/5,HTC07,,,,Hot Wheels,Hot Wheels Let's Race,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/6/61/Street_Wiener_-_2024_-_Hot_Wheels_Let_s_Race_-_HTC07.jpg/revision/latest
089/250,GT-Scorcher,GT-Scorcher,2024,Hot Wheels Let's Race,Mainline,2/5,HTC08,,,,Hot Wheels,Hot Wheels Let's Race,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/b/bd/GT-Scorcher_-_2024_-_Hoy_Wheels_Let_s_Race_-_HTC08.jpg/revision/latest
090/250,'73 Honda Civic Custom,'73 Honda Civic Custom,2024,Compact Kings,Mainline,4/5,HTC19,,,,Honda,Compact Kings,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/6/68/1973HondaCivic.jpg/revision/latest
091/250,'73 Jeep J10,'73 Jeep J10,2024,HW Hot Trucks,Mainline,4/10,HTC31,,,,Jeep,HW Hot Trucks,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/f/fc/2024_%2773_Jeep_J10.jpeg/revision/latest
092/250,Land Rover Series II,Land Rover Series II,2024,HW Hot Trucks,Mainline,5/10,HTC32,,,,Land Rover,HW Hot Trucks,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/7/73/Mainline_2024_Land_Rover_Series_II_Light_Gray_Malaysia_HTC32.jpg/revision/latest
093/250,Grass Chomper,Grass Chomper,2024,HW Ride-Ons,Mainline,1/5,HTC37,,,,Hot Wheels,HW Ride-Ons,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/3/31/Grass_Chomper_-_2024_-_HW_Ride-Ons_-_HTC37.jpg/revision/latest
094/250,Boom Car,Boom Car,2024,HW Ride-Ons,Mainline,2/5,HTC38,,,,Hot Wheels,HW Ride-Ons,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/8/89/BoomCar.jpg/revision/latest
095/250,'92 Honda Civic EG,'92 Honda Civic EG,2024,HW J-Imports New in Mainline,Mainline,4/10,HTC43,,,,Honda,HW J-Imports New in Mainline,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/e/e0/HTC43.jpg/revision/latest
096/250,Nissan Skyline GT-R (BCNR33),Nissan Skyline GT-R (BCNR33),2024,HW J-Imports,Mainline,5/10,HTC44,,,,Nissan,HW J-Imports,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/c/cc/HTC44-LOOSE.jpg/revision/latest
097/250,'23 Ram 1500,'23 Ram 1500,2024,Factory Fresh,Mainline,7/10,HXB33,,,,Dodge,Factory Fresh,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/6/60/%2723Ram1500.jpg/revision/latest
098/250,Alfa Romeo GTV6 3.0,Alfa Romeo GTV6 3.0,2024,Factory Fresh,Mainline,8/10,HTC53,,,,Alfa Romeo,Factory Fresh,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/4/41/AlfaRomeoAlfetta.jpg/revision/latest
099/250,Pagani Zonda R,Pagani Zonda R,2024,HW Race Day,Mainline,3/10,HTC78,,,,Pagani,HW Race Day,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/8/81/RacingZonda.jpg/revision/latest
100/250,Custom '53 Chevy,Custom '53 Chevy,2024,Rod Squad,Mainline,4/5,HTF18,,,,Chevrolet,Rod Squad,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/3/31/2024_Custom_%2753_Chevy.jpg/revision/latest
101/250,HW-4-TRAC,HW-4-TRAC,2024,HW Race Day,Mainline,4/10,HTC76,,,,Hot Wheels,HW Race Day,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/9/93/4Trac2024Red.jpg/revision/latest
102/250,'87 Audi quattro,'87 Audi quattro,2024,HW Turbo,Mainline,2/5,HRY55,,,,Audi,HW Turbo,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/f/f2/%2787Audiquattro.jpg/revision/latest
103/250,Flippin Fast,Flippin Fast,2024,HW Celebration Racers  World Autism Awareness Day,Mainline,6/10,HRY59,,,,Hot Wheels,HW Celebration Racers  World Autism Awareness Day,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/9/9c/Flippin%27Fast.jpg/revision/latest
104/250,Brickin' Delivery,Brickin' Delivery,2024,HW Metro,Mainline,1/10,HTB13,,,,Hot Wheels,HW Metro,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/7/71/Bricking_delivery_2024.png/revision/latest
105/250,Surf Duty,Surf Duty,2024,HW Metro,Mainline,2/10,HTB14,,,,Hot Wheels,HW Metro,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/0/06/Mainline_2024_Surf_Duty_Blue_Malaysia_HTB14.jpg/revision/latest
106/250,Batman Forever Batmobile,Batman Forever Batmobile,2024,Batman,Mainline,3/5,HTF19,,,,DC Comics,Batman,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/e/e0/2024_Batman_Forever_Batmobile.jpg/revision/latest
107/250,Aston Martin 1963 DB5,Aston Martin 1963 DB5,2024,HW Screen Time,Mainline,7/10,HTB36,,,,Aston Martin,HW Screen Time,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/f/f1/HTB36-LOOSE.jpg/revision/latest
108/250,'70 Dodge Charger R/T,'70 Dodge Charger R/T,2024,HW Art Cars,Mainline,4/10,HTB76,,,,Dodge,HW Art Cars,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/b/bf/Dodge_Charger_RT_1970_%281f%29_-_HotWheels.jpg/revision/latest
109/250,Corvette Stingray,Corvette Stingray,2024,HW Dream Garage,Mainline,5/5,HTB52,,,,Chevrolet,HW Dream Garage,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/4/49/Stingray._2024_HW_Dream_Garage%2C_Red.jpg/revision/latest
110/250,Silverado EV RST,Silverado EV RST,2024,HW Green Speed,Mainline,8/10,HRY63,,,,Chevrolet,HW Green Speed,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/f/f3/SilveradoEVRST.jpg/revision/latest
111/250,Pontiac Aztek Custom,Pontiac Aztek Custom,2024,HW Modified,Mainline,9/10,HRY61,,,,Pontiac,HW Modified,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/5/55/PontiacAztekCustom.jpg/revision/latest
112/250,Mustang Funny Car,Mustang Funny Car,2024,HW Art Cars,Mainline,5/10,HTB73,,,,Ford,HW Art Cars,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/8/8f/HTB73.jpg/revision/latest
113/250,Layin' Lowrider,Layin' Lowrider,2024,HW Reverse Rake,Mainline,3/5,HTB91,,,,Hot Wheels,HW Reverse Rake,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/0/0a/2024LayinLowriderBlack.jpg/revision/latest
114/250,T-Rextroyer,T-Rextroyer,2024,HW Mega Bite,Mainline,5/5,HTC05,,,,Hot Wheels,HW Mega Bite,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/1/1a/TRex2025.jpeg/revision/latest
